w1,w2,w3,w4,color,connection
cereal,dandruff,salt,snow,2,things that come in flakes
jackal,levitate,melted,patron,3,words formed by two men’s names
fast,firm,secure,tight,0,fixed
account,client,consumer,user,1,receiver of goods or services
frosty,mistletoe,rainmaker,snowman,2,starting with weather conditions
auction,movie,partner,treatment,3,silent ___
bow,card,gift wrap,ribbon,0,present go-withs
elbow,press,shoulder,shove,1,jostle
bowtie,cane,moneybag,top hat,2,accessories for mr. monopoly
otoe,parch,rankle,wheel,3,parts of the foot plus starting letter
armchair,bookcase,console,footstool,0,living room furniture
expert,intermediate,novice,proficient,1,experience levels
agreement,compact,handshake,understanding,2,promise
ceftazidime,headquarter,moneypenny,pumpernickel,3,ending in u.s. coins
band,crew,pack,team,0,group
crash,crater,drop,tank,1,plunge
basin,drain,faucet,stopper,2,parts of a sink
bit,crop,halter,saddle,3,equestrian gear
hose,pipe,straw,tube,0,hollow cylinders
app,desktop,mobile,web,1,software platforms
book,dip,jet,split,2,take off
bar,gram,mole,volt,3,units of measure
3 ball,cardinal,heart emoji,solo cup,0,things that are red
8 ball,deep end,limb,thin ice,1,used in metaphors for precarious situations
6 mafia,chainz,direction,non blondes,2,musical artists minus starting numbers
couth,forth,lest,oast,3,cardinal directions with first letter changed
chill,goosebump,shiver,tingle,0,bit of a response to strong emotions
jaywalk,litter,loiter,speed,1,break the rules
clothespin,crowbar,scissors,seesaw,2,first-class levers
aeroplane,dovetail,heathers,marsala,3,starting with candy bars
clone,double,mirror,ringer,0,doppelgänger
concern,interest,share,stake,1,portion
crescent,cross,star,stripe,2,common flag symbols
cider,garlic,trousers,wine,3,pressed using a press
digs,flat,pad,quarters,0,apartment
clear,deep,full,rich,1,sonorous
boat,flush,straight,quads,2,"poker hands, familiarly"
balloon,pack,party,stuffed,3,___ animal
comment,like,lurk,post,0,things you can do on social media
end,extreme,opposite,pole,1,furthest point
brutal,impression,manner,real,2,"art movements, with ""-ism"""
five,versus,very,volt,3,"what ""v"" might mean"
copy,edition,issue,print,0,paper publication
coil,crank,reel,wind,1,spool
blitz,block,sack,tackle,2,things a defensive football player does
drear,etail,grump,scan,3,synonyms for butt plus starting letter
captain,general,major,private,0,army ranks
jean,jogger,overall,slack,1,legwear in the singular
diamonds,sos,umbrella,work,2,rihanna #1 hits
bar,blanket,nurse,willy,3,wet ___
jot,log,note,record,0,write
bit,gag,number,routine,1,shtick
bar,example,metric,standard,2,benchmark
ale,eek,hive,quash,3,vegetables minus starting letter
charm,curse,hex,spell,0,bit of magic
peel,shell,shuck,skin,1,remove the covering from
buff,head,hound,rat,2,"""enthusiast"" equivalent"
fingers,fly,nut,scotch,3,butter___
ball drop,champagne flute,fireworks,noisemaker,0,happy new year!
bermuda triangle,black hole,couch cushions,dryer,1,places where things disappear
brotherly love,cheesesteak,liberty bell,rocky,2,associated with philadelphia
bay leaf,channel surf,sea bass,sound barrier,3,starting with bodies of water
aim,goal,object,point,0,intention
clock,compass,ruler,scale,1,measuring devices
climb,takeoff,taxi,touchdown,2,parts of a flight
basket,bell,rack,reflector,3,bike accessories
course,direction,tide,trend,0,tendency
cell,gene,protein,tissue,1,biological structures
athletics,equestrian,swimming,triathlon,2,summer olympic events
infinity,minnie,opal,outie,3,car brand homophones
box,envelope,mailer,tube,0,containers for shipping
constant,static,stationary,still,1,unmoving
gear,pawl,ratchet,spring,2,mechanical watch parts
dusky,noodle,perrier,soxer,3,dogs with first letter changed
business,economy,first,premium,0,airline classes
cite,credit,name,reference,1,attribute
calling,craft,line,trade,2,vocation
decider,namesake,report,villager,3,ending with alcoholic beverages
movie exec,surfer,tech bro,valley girl,0,california-based character tropes
buddy,cringe,screwball,stoner,1,comedy subgenres
america,chicago,foreigner,journey,2,'70s rock bands
forest,friday,panther,widow,3,black ___
excessive,flowery,melodramatic,purple,0,"ornate, as prose"
coin,hatch,fashion,make up,1,create
cherry,flower,musical note,wine glass,2,things with stems
laredo,mire,retire,solti,3,comprised of solfege (do-re-mi)
bacon,bread,cheese,paper,0,slang for money
bite,champ,chew,munch,1,masticate
char,pollock,sole,tang,2,fish
hump,rapt,singe,whistler,3,ways to vocalize musically plus a letter
achilles’ heel,downfall,kryptonite,soft spot,0,vulnerability
fixation,oedipus complex,superego,unconscious,1,freudian concepts
darth vader,dracula,little red riding hood,superman,2,characters in capes
bratz,dogma,frankenstein,linklater,3,starting with slang for sausage
rash,rush,surge,wave,0,influx
coming,following,future,later,1,subsequent
business,greeting,membership,playing,2,kinds of cards
brow,cya,pin,whit,3,colors minus last letter
handle,lid,spout,strainer,0,features of a teapot
circulation,periodicals,reference,stacks,1,library sections
emerge,flow,issue,result,2,arise
air,eaves,gum,rain,3,___drop
bucket,can,drum,tin,0,containers
dry,fold,press,wash,1,laundry services
clash,cure,damned,fall,2,"british bands formed in the 1970s, with ""the"""
bottom,lobster,music,salt,3,rock ___
data,details,information,intelligence,0,findings
cook,delivery,go out,leftovers,1,dinner options
commerce,education,energy,labor,2,u.s. cabinet departments
birth,doc,peer,worf,3,homophones of places to park a ship
daydream,fancy,fantasy,illusion,0,bit of wishful thinking
hero,lead,principal,star,1,protagonist
felt,glitter,pipe cleaner,pompom,2,component of an arts and crafts project
butterfly,media,security,worker,3,social ___
dugout,kayak,raft,shell,0,human-powered watercraft
even,flat,level,plane,1,flush
accord,civic,odyssey,pilot,2,honda models
fluke,label,madam,truth,3,biblical figures plus starting letter
bolero,foxtrot,mambo,quickstep,0,dances
brood,family,offspring,posterity,1,descendants
lifeboat,rope,spellbound,suspicion,2,hitchcock movies
bellhop,chimera,drumroll,rattlesnake,3,starting with percussion instruments
final,qualifier,quarter,semi,0,tournament rounds
bumper,giant,monster,titanic,1,enormous
dive,dump,hole,joint,2,disreputable establishment
celsius,cold,one hundred,see,3,"what ""c"" might mean"
fawn,flatter,gush,praise,0,lay it on thick
duckling,emperor,mermaid,princess,1,hans christian anderson figures
calf,chalk,colonel,would,2,"silent ""l"""
babe,napoleon,piglet,porky,3,fictional pigs
culotte,gaucho,harem,palazzo,0,wide-legged pant styles
apostle,depot,mortgage,poirot,1,"silent ""t"""
gooden,piazza,seaver,strawberry,2,new york mets legends
aja,are,her,hercule,3,greek mythological figures minus a letter
hold,house,keep,store,0,contain
blow,flap,sway,wave,1,move in the wind
bulb,ear,head,spear,2,vegetable units
clock,foot,year,zodiac,3,things that are divided into twelve segments
gnome,grill,shed,sprinkler,0,things seen in a yard
ares,ears,sear,sera,1,anagrams
are,elle,que,queue,2,letter homophones
bowl,bunny,devil,jacket,3,dust ___
dear,gracious,heavens,mercy,0,"""my goodness!"""
copy,dummy,dupe,fake,1,imitation
candy,lolly,sucker,sweet,2,confection
why,year,yellow,yes,3,"what ""y"" might mean"
consider,count,factor,include,0,bear in mind
clownfish,honeybee,tiger,zebra,1,striped animals
dorothy gale,leprechaun,pride,unicorn,2,associated with rainbows
fievel,forehead,toucan,wonder,3,beginning with number homophones
egg,push,spur,urge,0,"goad, with ""on"""
mulholland,rodeo,sunset,vine,1,famous streets in los angeles
cowboy,maverick,star,wing,2,member of a dallas pro sports team
mink,pars,roe,sofa,3,european capitals minus second-to-last letter
barrel,bolt,hurtle,tear,0,move at breakneck speed
gizzard,heart,tongue,tripe,1,organ meats
dado,dovetail,mitre,mortise,2,woodworking joint terms
capitan,dorado,greco,paso,3,el ___
average,mean,par,standard,0,norm
cool,moderate,settle,temper,1,mollify
car,incredible,minion,monster,2,member of a titular group in an animation franchise
adderall,monitorship,newton,toady,3,starting with herpetofauna
complex,delicate,sticky,tough,0,tricky
deal,situation,status,story,1,state of affairs
mastermind,mouse trap,operation,sorry,2,classic board games
baby,pillow,small,sweet,3,___ talk
draw close,hold tight,nuzzle,spoon,0,cuddle
guzzle,knock back,pound down,swill,1,imbibe
ikea furniture,lego set,model,puzzle,2,things you assemble
beak,muzzle,proboscis,rostrum,3,snouts
bangle,chain,charm,ring,0,kinds of jewelry
event,function,party,reception,1,social gathering
appeal,campaign,lobby,press,2,petition (for)
iron,macho,piano,rocket,3,"""___ man"" songs from the '70s"
ballpark,broad,general,rough,0,approximate
frick,fudge,shoot,sugar,1,mild oaths
angel,met,ray,royal,2,mlb player
brow,dada,moma,sisi,3,family member nickname plus a letter
circuit,lap,orbit,revolution,0,complete turn
full moon,lp,pizza pie,pupil,1,circular things
castle,judgment,metamorphosis,trial,2,"kafka works, with ""the"""
eye contact,pea soup,sea change,tea leaves,3,starting with letter homophones
bear,stand,stomach,swallow,0,tolerate
bust,lemon,miss,turkey,1,flop
hook,luffy,silver,sparrow,2,fictional pirates
cameroon,cockatiel,unread,whistleblew,3,ending in color homophones
core,midsection,torso,trunk,0,abdominal area
backup,cover,relief,substitute,1,replacement
bench,pigeon,statue,tree,2,park staples
bust,hit,split,stand,3,blackjack terms
fair,just,proper,right,0,fitting
beat,best,take,worst,1,achieve victory over
fret,peg,pickup,string,2,parts of an electric guitar
intonation,loudness,rhythm,stress,3,phonetic elements of speech
avalanche,outpouring,tidal wave,torrent,0,inundation
desktop,documents,downloads,music,1,main folders in a computer
drills,files,routers,saws,2,woodworking tools
confections,grands,hurdle,swelling sea,3,rhymes for new york times games
can,could,may,might,0,verbs expressing possibility
deb,jan,kat,sue,1,women’s nicknames
apr,cfo,ira,sec,2,financial abbreviations
flow,god,mar,tab,3,backwards animals
mickey mouse,rinky-dink,trivial,two-bit,0,small-time
barbie dreamhouse,calamine lotion,cherry blossom,flamingo,1,things that are pink
bug bite,lottery ticket,vinyl record,your head,2,things you can scratch
glad-hand,happy meal,merry-go-round,sunny-side up,3,starting with optimistic words
blender,microwave,rice cooker,toaster,0,small kitchen appliances
air conditioner,cup holder,radio,shifter,1,features of a car's center console
bin,carry-on,metal detector,x-ray,2,seen while going through airport security
infrared,marigold,stingray,ultraviolet,3,ending in colors
blender,microwave,rice cooker,toaster,0,small kitchen appliances
air conditioner,cup holder,radio,shifter,1,features of a car's center console
bin,carry-on,metal detector,x-ray,2,seen while going through airport security
infrared,marigold,stingray,ultraviolet,3,ending in colors
dab,drop,splash,touch,0,little bit
salty dog,skipper,swab,tar,1,sailor
bitter melon,chayote,durian,soursop,2,tropical fruits/vegetables
big,plea,raw,sweetheart,3,___ deal
awareness ribbon,boutonnière,lapel pin,lavalier,0,things worn on lapels
cosmopolitan,greyhound,screwdriver,sea breeze,1,cocktails
clownfish,grumpy old man,racecar,talking doll,2,pixar protagonists
bolt cutter,chow mein,scarf ring,wolf eel,3,"starting with synonyms for ""eat"""
fix,paste,plaster,stick,0,adhere
brush,kiss,skim,stroke,1,graze
crown,enamel,pulp,root,2,parts of a tooth
any,arty,decay,essay,3,words that sound like two letters
husky,solid,squat,thick,0,stocky
direct,guide,lead,shepherd,1,steer
cask,fall,masque,pit,2,"second words in poe stories, after ""the"""
colony,hearth,lunge,skink,3,organ plus a letter
clown,joker,laugh,riot,0,funny person
cherry,grape,plum,roma,1,kinds of tomatoes
berry,madison,stone,swank,2,best actress oscar winners
commonplace,needlepoint,parasite,sunspot,3,"ending in synonyms for ""location"""
absolutely,of course,okey-doke,sure thing,0,"""you bet"""
off-limits,proscribed,taboo,verboten,1,forbidden
alley-oop,fadeaway,finger roll,slam dunk,2,basketball shots
go-getter,leavening,scattergories,shoo-in,3,"starting with synonyms for ""scram!"""
approach,method,philosophy,school,0,technique
banal,everyday,humdrum,pedestrian,1,run-of-the-mill
barcode,ibm logo,rugby shirt,zebra,2,stripy things
avenue,parking,railroad,tax,3,words on monopoly squares
flavor,salt,season,spice,0,enhance the taste of
colon,dash,period,slash,1,punctuation marks
character,film,method,stage,2,kinds of actors
buffer,comfort,time,twilight,3,___ zone
grade,judge,rate,review,0,evaluate
band,channel,frequency,station,1,radio tuning options
buddy,disaster,martial arts,superhero,2,action film subgenres
armageddon,hard boiled,heat,speed,3,classic '90s action films
duds,fit,getup,threads,0,attire
beer,fire extinguisher,sea,shaving cream,1,foamy things
air purifier,cigarette,coffee maker,instagram,2,things that use filters
box,microsoft,oval,post,3,___ office
golf,judo,polo,sumo,0,sports
bozo,dodo,dope,yo-yo,1,doofus
bogo,fomo,goat,yolo,2,acronyms
como,loco,poco,rojo,3,spanish words
blush,foundation,highlighter,powder,0,makeup
extent,range,scale,scope,1,breadth
base,holder,rest,stand,2,object used for support
compass,envelope,music notes,speech bubble,3,icons on an iphone
bell,drum,rattle,triangle,0,percussion instruments
clear,pay,settle,square,1,"satisfy, as debts"
came,conquered,i,saw,2,words in a famous quote by caesar
ab,pro,sine,sub,3,latin prepositions
brush,mirror,nail file,tweezers,0,personal grooming items
compact,dense,thick,tight,1,packed
deliberate,muse,noodle,reflect,2,ponder
cranium,cronut,lunar,pufnstuf,3,starting with bird homophones
close,plug,seal,stop,0,"block, as an opening"
deliver,give,present,pronounce,1,"put forward, as an announcement"
body,programming,sign,spoken,2,kinds of language
beam,ching,robot,spy,3,"words after ""i"""
animal print,herringbone,houndstooth,polka dot,0,textile patterns
chimichurri,pesto,relish,salsa verde,1,green condiments
bagel,hula hoop,inner tube,washer,2,things with holes in the middle
barney the dinosaur,eggplant,people eater,swing state,3,things that are purple
amount,figure,price,value,0,cost
face,fingerprint,password,pin,1,ways to unlock a device
aft,deck,fore,mast,2,parts of a ship
arrow,bow,diaper,wings,3,features of a cartoon cupid
blow,botch,butcher,spoil,0,make a hash of
candlestick,knife,rope,wrench,1,weapons in the game clue
baker,flack,franklin,knight,2,iconic soul singers
bow,coat,forest,maker,3,rain___
direct,drive,guide,pilot,0,steer
coat,film,leaf,sheet,1,thin layer
doc,mid,tiff,zip,2,file extensions
air,electric,rhythm,slide,3,___ guitar
clown nose,fire engine,maraschino cherry,stop sign,0,things that are red
